normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
"Are you going to finish on time? Yes, yes, so what.",You’re going to finish on time? YYSSW.,,,
I scored a failing grade on that test.,I scored a Z on that test.,,,
I am extremely tired and will now go to sleep.,"I’m exhausted, time for Z.",,,
That is what I saw.,That’s what I Z.,,,
This place is chaotic and disorganized.,This place is a Z% with all the chaos.,,,
It is time to go to bed.,"It’s ZH, goodnight!",,,
"Oh my God, I cannot believe you did that","ZOMG, I can’t believe you did that!",,,
Our school has a zero-tolerance policy for bullying.,Our school has a ZOT policy for bullying.,,,
"Hello, what is going on with you today?","Hey, ZUP with you today?",,,
I was so tired that I went to bed and immediately fell asleep.,"I was so tired, I went to bed and was out in seconds, ZZZZ.",,,
That new song is excellent.,"""That new track is a bop.""",Bop,A song that's really good.,Medium
"I am leaving now, goodbye.","""I'm bouncing, see you later.""",Bounce,To leave or exit.,Medium
Her reputation was ruined following that post.,"""She got cancelled after that post.""",Cancelled,Publicly denounced and rejected.,High
I am simply relaxing today.,"""I'm just chilling today.""",Chill,Relaxed or easy-going.,High
That video was embarrassing.,"""That video was cringe.""",Cringe,Embarrassing or awkward.,High
I will send you the details via direct message.,"""I'll DM you the details.""",DM,Direct Message on social media.,High
That jacket is excellent.,"""That jacket is dope.""",Dope,Cool or excellent.,High
He is showing off his new phone.,"""He's flexing his new phone.""",Flex,To show off or boast.,High
Jordan is the greatest of all time,"""Jordan is the GOAT.""",GOAT,Greatest Of All Time.,High
I am very excited for this.,"""I'm high-key excited for this.""",High-Key,Emphatically or openly.,High
The level of enthusiasm is justified,"""The hype is real.""",Hype,Intense excitement.,High
Do not be so unreasonably demanding.,"""Don't be such a Karen.""",Karen,Entitled or demanding woman.,High
We accepted the loss in that situation.,"""We took the L on that one.""",L,Loss or failure.,High
He is inexperienced at this game.,"""He's such a noob at this game.""",Noob,Newbie or beginner.,Medium
That appears to be painful.,"""Oof, that must have hurt.""",Oof,An expression of sympathy.,High
That is unequivocally the truth.,"""And that's the truth, periodt.""",Periodt,Used to emphasize the end of a statement.,High
Provide the evidence to support your statements.,"""Show me the receipts for your claims.""",Receipts,Proof or evidence.,High
She is subtly disrespecting her former partner.,"""She's throwing shade at her ex.""",Shade,Subtle insult.,High
He is extremely devoted to her.,"""He's such a simp for her.""",Simp,Someone who does too much for someone they like.,High
This musical track is excellent,"""This beat slaps.""",Slaps,Really good.,High
Please tell me the details of what occurred,"""Spill the tea, what happened?""",Spill,Reveal the truth.,High
I am an extremely enthusiastic and devoted fan of that musical group.,"""I'm a stan for that band.""",Stan,Obsessive fan.,High
That sounds suspicious to me.,"""That sounds sus to me.""",Sus,Suspicious or questionable.,High
He is extremely eager for approval on social media.,"""He's so thirsty for likes.""",Thirsty,Desperate for attention or affection.,High
I enjoy the atmosphere in this location.,"""I'm loving the vibes here.""",Vibes,Good energy.,High
I was incredibly impressed by that performance.,"""My wig was snatched by that performance.""",Wig,A reaction to something surprising or shocking.,Medium
He threw the ball across the field.,"""He yeeted the ball across the field.""",Yeet,To throw something with force; also used for excitement.,High
"As a member of Generation Z, she is aware of all the current fashions and popular developments","""As a Zoomer, she knows all the trends.""",Zoomer,A member of Generation Z.,Medium
She is living a luxurious life,"""She's living the boujee life.""",Boujee,Luxurious or fancy.,High
He is only doing that for attention or influence.,"""He's just doing it for the clout.""",Clout,Influence or power.,High
I am truly being serious.,"""I'm deadass not joking.""",Deadass,Seriously; genuinely.,High
Observe my fashionable outfit today.,"""Check out my drip today.""",Drip,"Stylish or fashionable, especially in clothing.",High
Her outfits are excessive.,"""She's so extra with her outfits.""",Extra,"Over the top, excessive.",Medium
He skillfully manipulated his entry into the establishment.,"""He finessed his way into the club.""",Finesse,To handle something skillfully.,Medium
He abruptly ceased all communication with me following our scheduled meeting.,"""He ghosted me after our date.""",Ghosting,Suddenly cutting off all communication with someone.,High
That song evokes a strong and unique emotional response.,"""That song hits different.""",Hits Different,Something that resonates on a deep level.,High
I am currently prioritizing the joy of missing out.,"""I'm all about JOMO these days.""",JOMO,Joy Of Missing Out.,Medium
She is constantly on my mind.,"""She's living rent-free in my mind.""",Living Rent-Free,Taking up a lot of mental space.,High
She is fully displaying an impressive sense of self-confidence,"""She's totally giving main character vibes.""",Main Character,Acting like the main character in life.,Medium
We must establish self-care as a conventional practice.,"""We need to normalize self-care.""",Normalize,Make something the norm.,High
That experience was likely painful.,"""Oof, that must have hurt.""",Oof,An expression of sympathy.,High
He is feeling stressed or annoyed about the situation.,"""He's so pressed about the situation.""",Pressed,Angry or annoyed.,Medium
That statement is very relevant to my personal experience.,"""That quote really resonates with me.""",Resonate,Something that deeply connects or makes sense.,Medium
I am extremely surprised by that unexpected development,"""I am shooketh by that twist.""",Shooketh,Extremely shocked.,Medium
I had to avoid the conflict,"""I had to swerve to avoid the drama.""",Swerve,To avoid or move away from something.,Medium
He is unwilling to share information about what occurred.,"""He's tight about what happened.""",Tight,Angry or frustrated.,Medium
She is entirely unaffected by the criticism.,"""She's completely unbothered by the hate.""",Unbothered,Not caring; unaffected.,High
That outfit is exceptional,"""That outfit is wavy.""",Wavy,Cool or trendy.,Medium
Take a look at my new car,"""Check out my new whip.""",Whip,Car.,High
He was behaving erratically at the party.,"""He was wildin' at the party.""",Wildin,Acting wild or out of control.,Medium
She is acting wildly or unusually in this situation,"""She's wylin out here.""",Wylin,Acting wild or out of control.,Medium
He is currently intoxicated.,"""He's zooted right now.""",Zooted,Under the influence.,Medium
My dog is experiencing a period of frantic activity.,"""My dog has the zoomies.""",Zoomies,"Sudden burst of energy, often used to describe pets.",Medium
Let us assess the atmosphere,"""Let's do a vibe check.""",Vibe Check,Evaluating someone's mood or the atmosphere.,High
Tell me the details,"""Come on, spill the tea.""",Spill the Tea,To share gossip or the latest news.,High
That was an embarrassing or awkward moment.,"""That was a big yikes moment.""",Big Yikes,Something extremely embarrassing or cringeworthy.,High
I am living a luxurious lifestyle.,"""Living the boujee life.""",Boujee,Luxurious or fancy.,High
I am going to the convenience store.,"""I'm heading to the bodega.""",Bodega,"A small grocery store, typically in an urban area.",Medium
I am extremely excited for the concert,"""I'm so gassed up for the concert.""",Gassed Up,Feeling excited or confident.,Medium
She had to avoid that awkward conversation.,"""She had to swerve that awkward conversation.""",Swerve,To avoid or dodge something.,Medium
Why are you so irritable today?,"""Why are you so tight today?""",Tight,Angry or frustrated.,Medium
Observe my fashionable attire.,"""Check out my drip.""",Drip,Stylish or fashionable.,High
That is correct,"""That's facts.""",Facts,Used to agree with something true.,High
That song is excellent,"""That song is fire.""",Fire,Really good or excellent.,High
"He is someone who excessively pursues fashionable or trendy items, often for social recognition.","""He's such a hypebeast.""",Hypebeast,"Someone obsessed with fashion, especially streetwear.",High
I am being completely honest with you.,"""I'm just keeping it 100 with you.""",Keep it 100,To be honest and truthful.,High
That party was excellent,"""That party was lit.""",Lit,"Exciting, fun, or excellent.",High
That is truly the best movie.,"""That's the best movie, no cap.""",No Cap,No lie; truth.,High
He is the reliable source for the best snacks.,"""He's the plug for all the best snacks.""",Plug,Someone who can supply something needed.,Medium
Why are you so upset,"""Why are you so salty?""",Salty,Bitter or upset.,Medium
You performed exceptionally well during that presentation.,"""You slayed that presentation.""",Slay,To do something exceptionally well.,High
Was that an indirect insult?,"""Was that a sneak diss?""",Sneak Diss,A subtle or indirect insult.,Medium
Remain aware of current events.,"""Stay woke about what's happening.""",Stay Woke,"Stay aware, especially of social issues.",High
